Games,At-bat,Runs,Hits,Double,Triple,HR,RBI,Walk,Strikeouts,stolen base ,Caught stealing,AVG,On-base Plus Slugging
1767.0,6509.0,960.0,1887.0,299.0,123.0,74.0,793.0,625.0,274.0,298.0,27.0,0.29,0.765
1514.0,5349.0,676.0,1450.0,254.0,41.0,28.0,574.0,627.0,584.0,188.0,64.0,0.271,0.697
1023.0,2555.0,393.0,693.0,114.0,16.0,66.0,329.0,445.0,382.0,68.0,28.0,0.271,0.787
1223.0,4134.0,630.0,1173.0,224.0,25.0,234.0,760.0,491.0,719.0,30.0,31.0,0.284,0.88
2499.0,8984.0,1619.0,2726.0,549.0,38.0,468.0,1623.0,1512.0,1409.0,150.0,46.0,0.303,0.93
1598.0,5071.0,605.0,1270.0,225.0,40.0,101.0,606.0,698.0,853.0,34.0,54.0,0.25,0.713
1305.0,4408.0,597.0,1157.0,219.0,33.0,146.0,575.0,393.0,791.0,61.0,18.0,0.262,0.747
1495.0,5284.0,705.0,1370.0,191.0,75.0,20.0,445.0,427.0,307.0,312.0,53.0,0.259,0.664
811.0,2831.0,427.0,804.0,138.0,73.0,30.0,422.0,335.0,389.0,189.0,41.0,0.284,0.783
2071.0,7609.0,959.0,2031.0,340.0,31.0,354.0,1244.0,487.0,1570.0,39.0,35.0,0.267,0.772
1422.0,5807.0,992.0,1561.0,226.0,97.0,31.0,758.0,388.0,240.0,318.0,29.111971403812824,0.269,0.68
940.0,2844.0,332.0,648.0,136.0,12.0,88.0,376.0,295.0,562.0,14.0,11.0,0.228,0.677
1450.0,4644.0,623.0,1251.0,193.0,37.0,136.0,591.0,418.0,696.0,16.0,23.0,0.269,0.745
1593.0,5047.0,562.0,1321.0,257.0,72.0,31.0,555.0,357.0,395.0,29.0,18.0,0.262,0.671
1099.0,2873.0,431.0,736.0,141.0,35.0,101.0,398.0,322.0,714.0,41.0,25.0,0.256,0.773
1454.0,5188.0,759.0,1540.0,325.0,5.0,215.0,909.0,522.0,613.0,53.0,25.0,0.297,0.852
2820.0,9864.0,1551.0,2584.0,463.0,49.0,563.0,1702.0,1375.0,2597.0,228.0,115.0,0.262,0.846
1693.0,5701.0,803.0,1416.0,255.0,9.0,191.0,771.0,792.0,1211.0,101.0,51.0,0.248,0.746
1586.0,5930.0,877.0,1572.0,308.0,57.0,130.0,639.0,561.0,865.0,309.0,79.0,0.265,0.729
1379.0,4538.0,780.0,1194.0,311.0,28.0,170.0,616.0,719.0,1108.0,27.0,17.0,0.263,0.825
1219.0,4139.0,645.0,1202.0,262.0,50.0,40.0,450.0,467.0,288.0,71.0,58.0,0.29,0.777
1718.0,5929.0,848.0,1766.0,290.0,29.0,279.0,1028.0,492.0,365.0,20.0,10.0,0.298,0.851
2158.0,7911.0,1057.0,2276.0,414.0,92.0,94.0,844.0,690.0,784.0,246.0,138.0,0.288,0.746
2322.0,8199.0,1494.0,2468.0,495.0,12.0,521.0,1704.0,1667.0,1397.0,32.0,23.0,0.301,0.974
1428.0,5067.0,696.0,1423.0,244.0,71.0,118.0,679.0,416.0,504.0,129.0,47.0,0.281,0.766
1515.0,4604.0,517.0,1206.0,234.0,18.0,60.0,486.0,408.0,750.0,35.0,33.0,0.262,0.685
832.0,2698.0,430.0,723.0,173.0,5.0,95.0,398.0,522.0,572.0,29.0,24.0,0.268,0.84
1687.0,6479.0,1084.0,1882.0,240.0,85.0,42.0,932.0,479.0,223.0,352.0,29.111971403812824,0.29,0.737
1530.0,5208.0,822.0,1631.0,252.0,113.0,136.0,859.0,587.0,408.0,145.0,94.0,0.313,0.875
1179.0,4541.0,580.0,1230.0,117.0,68.0,22.0,421.0,435.0,667.3065260153157,207.0,0.678,0.271,0.678
983.0,3346.0,578.0,870.0,166.0,17.0,112.0,482.0,464.0,687.0,47.0,27.0,0.26,0.778
1352.0,4758.0,688.0,1279.0,238.0,34.0,80.0,475.0,439.0,876.0,198.0,69.0,0.269,0.717
1432.0,5164.0,614.0,1302.0,204.0,39.0,251.0,815.0,260.0,1201.0,18.0,20.0,0.252,0.74
2328.0,8684.0,1181.0,2249.0,313.0,86.0,79.0,646.0,618.0,1142.0,649.0,199.0,0.259,0.653
2009.0,7654.0,1288.0,2524.0,491.0,160.0,110.0,1183.0,506.0,345.0,114.0,58.0,0.33,0.856
1167.0,3994.0,440.0,996.0,190.0,5.0,146.0,550.0,368.0,847.0,9.0,4.0,0.249,0.722
1748.0,7363.0,1099.0,2376.0,339.0,182.0,68.0,981.0,484.0,260.0,268.0,92.0,0.323,0.815
1066.0,3709.0,523.0,942.0,208.0,14.0,153.0,521.0,408.0,1126.0,105.0,32.0,0.254,0.769
1346.0,4288.0,625.0,1061.0,169.0,50.0,93.0,467.0,588.0,767.0,139.0,51.0,0.247,0.719
2264.0,7245.0,679.0,1838.0,303.0,26.0,105.0,826.0,663.0,608.0,38.0,50.0,0.254,0.661
1902.0,7378.0,1005.0,2029.0,368.0,35.0,211.0,951.0,420.0,1092.0,209.0,84.0,0.275,0.74
2292.0,7706.0,1798.0,2654.0,525.0,71.0,521.0,1839.0,2019.0,709.0,24.0,17.0,0.344,1.116
1379.0,4840.0,728.0,1417.0,189.0,70.0,36.0,405.0,369.0,543.0,321.0,145.0,0.293,0.725
1465.0,5186.0,631.0,1302.0,245.0,39.0,155.0,722.0,528.0,1055.0,37.0,33.0,0.251,0.725
865.0,2948.0,455.0,775.0,143.0,61.0,55.0,395.0,378.0,369.0,121.0,26.0,0.263,0.76
1405.0,4809.0,707.0,1304.0,258.0,26.0,202.0,791.0,442.0,1021.0,107.0,54.0,0.271,0.803
1156.0,4052.0,437.0,1057.0,218.0,29.0,80.0,457.0,143.0,435.0,30.0,30.0,0.261,0.673
902.0,2795.0,320.0,736.0,155.0,13.0,48.0,306.0,196.0,511.0,29.0,18.0,0.263,0.692
2502.0,8872.0,1571.0,2605.0,430.0,113.0,170.0,980.0,1330.0,966.0,808.0,146.0,0.294,0.81
973.0,3060.0,345.0,776.0,136.0,17.0,98.0,427.0,371.0,539.0,20.0,17.0,0.254,0.744
1272.0,4813.0,548.0,1230.0,150.0,23.0,27.0,304.0,365.0,362.0,151.0,58.0,0.256,0.621
1831.0,6185.0,802.0,1826.0,307.0,41.0,184.0,989.0,653.0,796.0,27.0,28.0,0.295,0.811
